Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Achillea millefolium;2-3 ft; ; ;3-9;White;Yarrow;Dry to Moist;Full Sun;July,June,September,August;Pollinators;Fragrant,Dried Flower,Cut Flower; ;Green; ;Medium; ;Cd-Cadmium;
Anemone canadensis;1-2 ft;2-3 ft;18-24 in;3-8;White;Meadow anemone;Moist to Wet;Full Sun to Partial Shade;June,May,April; ;Clay Soil,Naturalizing; ;Green; ; ; ; ;
Anemone virginiana;3 ft;1-2 ft;18-24 in;3-8;White;Thimble weed;Moist;Full Sun,Shade,Partial Shade;June,May; ;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Aquilegia canadensis;2 ft;1-2 ft; ;3-8;Red;Wild columbine;Moist;Full Sun to Full Shade;May,April;Hummingbirds;Naturalizing,Cut Flower;Deer Resistant;Green; ;High;Summer,Spring; ;
Asclepias incarnata;4-5 ft;2-3 ft;3-4 ft;3-8;Pink, Rose;Swamp milkweed;Wet to Moist;Full Sun to Partial Shade;June,July;Butterflies,Songbirds,Pollinators;Naturalizing,Fragrant,Clay Soil;Deer Resistant;Green;Fast;Medium; ; ;
Asclepias tuberosa;1-3 ft;1-2 ft;18-24 in;4-10;Orange;Butterfly weed;Dry;Full Sun to Partial Shade;July,June;Butterflies;Naturalizing,Favorite,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Aster cordifolius;2-3 Feet;2-3 ft;2-3 ft;3-8; ;Blue wood aster;Moist to Dry;Full Shade to Partial Shade;November,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ;Medium;Spring,Summer; ;
Aster divaricatus;2-3 Feet;3-4 ft;2-3 ft;3-8;White;White wood aster;Moist to Dry;Partial Shade to Full Shade;November,October,September;Butterflies;Drought Tolerant; ;Green; ; ; ; ;
Aster divaricatus 'Eastern Star';1-2 ft;2-3 ft;2-3 ft;3-8;White;White wood aster;Moist to Dry;Full Shade to Partial Shade;October,September;Butterflies;Naturalizing,Long Blooming,East-Coast Native,Rain Garden,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Medium;Medium;Fall,Summer; ;
Aster lateriflorus 'Lady in Black';3-4 ft;3 ft;3-5 ft;3-8;White;Calico aster;Dry,Moist;Full Sun to Partial Shade;October,September;Pollinators,Butterflies;Cut Flower,Coastal,Clay Soil,Rock Garden;Deer Resistant;Purple;Fast;Medium;Fall,Summer,Spring; ;
Aster macrophyllus;1-3 Feet;2-3 ft;3-4 ft;3-8;Lavender;Big leaf aster;Moist to Dry;Full Shade to Partial Shade;August,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Fall,Spring; ;
Aster macrophyllus 'Twilight';30-36 in;30-36 in;36 in;3-9;Lavender-Blue;Twilight big leaf aster;Moist to Dry;Partial Sun;September,August;Butterflies,Pollinators; ; ;Maroon,Green;Fast;Medium;Fall,Summer,Spring; ;
Astilbe japonica 'Deutschland';18-24 in;18-24 in;18-24 in;4 - 9;White;Astilbe;Moist;Full Shade to Partial Shade;June,May;Pollinators,Butterflies;Ground Cover,Interesting Foliage,Dried Flower,Cut Flower;Deer Resistant;Green; ; ;Summer,Spring,Fall; ;
Astilbe japonica 'Rheinland';18-24 in;18-24 in;18-24 in; ;Pink;Astilbe;Moist;Partial Shade to Full Shade;June,May;Pollinators,Butterflies;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Interesting Foliage;Deer Resistant;Green;Medium; ;Summer,Spring; ;
